Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
32.0,16144.0,61.662548,1.4910958,58.090576,63.754654,2.7032516,33.0978,1.4922538,30.162123,35.661697,1.9213592,46.601906,0.7950077,45.104137,48.06068,1.8804188,104.75856,1.4167401,102.15883,107.398445,4.0843,3.3941984,0.06302383,3.291646,3.51809,0.13920036
33.0,16336.0,62.164078,1.5343595,59.015713,64.93829,2.7425358,33.7932,1.5204155,30.410547,36.475597,1.9592505,46.896866,0.75578576,45.209156,48.2125,1.8740401,104.348495,1.4007249,101.790634,106.936165,4.064693,3.3404422,0.056613017,3.264998,3.4399104,0.13463168
34.0,16528.0,62.7353,1.3194466,60.434444,64.918274,2.646428,34.468163,1.6348436,31.270996,37.660084,2.0642965,47.58059,0.6823121,46.367622,48.999123,1.8688871,104.028404,1.5005213,101.365555,106.89262,4.0892634,3.3133464,0.06645704,3.1999688,3.4406538,0.13818872
35.0,16720.0,62.95354,1.3920622,60.252472,65.7162,2.6901968,35.389206,1.702479,32.181995,38.792694,2.138475,47.942074,0.8976325,46.539715,49.372658,1.9695444,103.77075,1.5205203,100.846405,106.720825,4.087897,3.2891989,0.08069074,3.1458213,3.404671,0.14483574
36.0,16912.0,63.44381,1.1229687,61.783474,65.804085,2.5774486,36.09723,1.7610053,32.829082,38.92252,2.2007859,48.50774,0.825626,47.269314,50.04404,1.9565204,103.43597,1.5614684,100.53252,106.523735,4.091985,3.2548537,0.0834646,3.1100893,3.388631,0.14536919
37.0,17104.0,63.87434,1.4542873,61.88949,66.98153,2.7514412,36.88203,1.8071845,33.940918,39.962234,2.2549543,48.924168,0.76925474,47.61958,50.287666,1.9473878,102.97674,1.5371913,100.187706,105.87533,4.067231,3.2233648,0.06475748,3.1256492,3.3571687,0.13448651
38.0,17296.0,64.41968,1.8929014,61.76213,67.77787,3.0219374,37.544136,1.8894104,34.374416,40.585155,2.335523,49.49746,0.94344026,47.468517,51.198578,2.0411012,102.49349,1.630713,99.601654,105.69932,4.087281,3.1918645,0.063719384,3.0934381,3.2990472,0.13297759
39.0,17488.0,64.831505,2.0349815,61.976517,68.74618,3.1243167,38.389187,1.9573158,34.824047,41.596012,2.408668,49.952236,0.8409011,48.405212,51.789608,2.0108716,102.17571,1.5933062,99.34009,104.847496,4.06181,3.1810849,0.05532747,3.0843728,3.2554886,0.12881051
40.0,17680.0,65.25667,1.9374359,61.887695,69.12204,3.0737305,39.195057,2.0606623,35.215637,42.33513,2.5100853,50.668034,0.8633518,49.258804,52.27751,2.0440578,101.86382,1.589773,99.12905,104.41055,4.0499334,3.1671274,0.05561405,3.0684934,3.2651045,0.12847358
41.0,17872.0,65.52686,1.7035973,63.143467,68.83593,2.9400096,39.955227,1.9224743,36.448063,43.24084,2.4146552,51.01916,0.82021594,49.820675,52.370483,2.0379632,101.53692,1.5991054,98.93775,104.0669,4.042624,3.165091,0.06155969,3.073908,3.28665,0.13109118
42.0,18064.0,65.68561,1.3285991,63.26658,67.528435,2.7448933,40.936604,2.0859444,37.27943,44.826008,2.5674825,51.27387,0.90385735,49.452534,52.55408,2.0814266,101.124405,1.5327483,98.62,103.69235,4.002899,3.1433554,0.06597995,3.0403383,3.2854166,0.13253416
43.0,18256.0,66.08838,1.6922392,62.595734,68.96181,2.9502385,41.923416,1.9165969,38.523594,46.105793,2.4542782,51.512154,0.9667249,49.773735,53.142258,2.1172354,100.74536,1.5927999,98.128334,103.10577,4.01355,3.1486108,0.06792834,3.0382767,3.2694569,0.13368031
44.0,18448.0,66.114494,1.4286779,63.8311,68.8913,2.8081968,43.016853,1.9829108,39.25427,46.56849,2.5310597,51.774426,0.73669565,50.49538,53.22541,2.0315197,100.43249,1.5338601,97.62052,102.77368,3.9799662,3.149592,0.07664651,3.0181549,3.2780192,0.13834418
45.0,18640.0,66.51572,1.5592531,63.821774,69.04244,2.8891652,43.71248,2.1108794,39.3084,47.605835,2.6477938,52.27394,0.79238105,50.879192,53.968815,2.0692306,100.06254,1.5836947,97.23928,102.48156,3.987018,3.1193457,0.070921235,3.0106668,3.259011,0.13431571
46.0,18832.0,66.985054,1.5899523,64.21312,69.478546,2.9202285,44.40296,1.994079,40.397392,47.867138,2.5715182,52.694164,0.84960985,51.16317,54.11963,2.1058648,99.6381,1.6630799,96.75622,102.29198,4.005087,3.0890532,0.06816564,2.9629264,3.2094805,0.13193168
47.0,19024.0,66.96756,1.772769,63.50409,69.67592,3.023138,45.181026,2.0654333,41.317142,48.69981,2.6449142,52.95902,0.7550685,51.751095,54.553173,2.078551,99.37133,1.64483,96.51481,101.92164,3.9886544,3.08355,0.065332204,2.941833,3.183922,0.13031611
48.0,19216.0,67.7866,1.478473,65.023735,70.31683,2.8861938,45.84734,2.0875435,41.559868,49.245937,2.6774049,53.644505,0.8786109,52.0753,55.2496,2.149399,98.906845,1.6182476,95.75605,101.18446,3.9622564,3.0774238,0.06538893,2.954051,3.1851976,0.13015082
49.0,19408.0,68.02348,1.5143471,65.63101,71.155914,2.9121294,46.632427,2.1995728,42.437412,51.136936,2.7831392,53.87629,0.7898799,52.627842,55.161076,2.122544,98.45086,1.5741858,95.493454,100.63696,3.929183,3.059193,0.07422112,2.9378011,3.183711,0.13424866
50.0,19600.0,68.14486,1.634945,65.71892,71.118935,2.9803348,47.571915,2.152798,43.32055,51.072937,2.7677834,53.966805,0.84829015,52.676258,55.597183,2.1480064,98.15812,1.639263,95.12821,100.64102,3.945965,3.0748737,0.0735854,2.955907,3.2003357,0.13437767
51.0,19792.0,68.22637,1.7276514,65.34117,71.05827,3.0346322,48.406345,2.2527268,44.385788,52.318413,2.8649523,54.266964,0.8237158,52.773937,55.61269,2.1485538,97.77099,1.6831849,94.8386,100.53219,3.9516003,3.0331633,0.06561051,2.8907769,3.1265173,0.12886669
52.0,19984.0,68.5161,1.51295,65.52221,71.20927,2.926808,49.183838,2.4561164,44.981876,53.48215,3.0441976,54.64736,0.88322854,52.872524,56.17165,2.1847808,97.41788,1.6488479,94.73254,100.18147,3.9253755,3.0383387,0.06511897,2.914653,3.1333368,0.12878035
53.0,20176.0,68.80256,1.6115842,65.49158,70.94458,2.987807,49.94234,2.479463,45.439377,54.320576,3.0794327,54.8773,0.9193096,53.253574,56.37305,2.207256,97.04182,1.5983757,94.37423,99.53483,3.8919013,3.0462704,0.0711243,2.9176593,3.1762903,0.13216314
54.0,20368.0,68.96518,1.6535093,66.45224,71.91584,3.015599,50.710842,2.5611198,45.693325,55.250225,3.161951,55.095448,1.0009161,53.281567,56.81518,2.2496135,96.63631,1.6599618,93.980675,99.153465,3.90417,3.0383086,0.083468564,2.8997416,3.1936433,0.13896279
55.0,20560.0,69.27076,1.2567979,66.87715,71.68064,2.8276794,51.405277,2.5986438,46.6585,55.72977,3.2072372,55.353855,1.027296,53.76599,57.112926,2.2698963,96.14122,1.6914277,93.29501,98.70465,3.9013305,3.0202005,0.08526782,2.8533063,3.1680164,0.13952617
56.0,20752.0,69.205666,1.7656997,66.30207,72.04831,3.085753,52.33242,2.7570016,47.412247,57.217636,3.3560522,55.49281,1.0450124,53.97028,57.543026,2.2824852,95.79058,1.6732335,93.00074,98.464806,3.8819034,3.0296395,0.048944533,2.9345088,3.1014132,0.121115156
57.0,20944.0,69.269485,1.8321865,66.668274,72.69187,3.126164,53.149513,2.7183468,48.03775,58.21612,3.3416588,55.64719,0.8804015,54.150215,57.112865,2.2171464,95.312256,1.6730666,92.67187,97.95008,3.8660557,3.0256872,0.0731519,2.8730223,3.1659026,0.13263679
58.0,21136.0,69.62414,1.5573442,66.83986,72.289215,2.9844902,53.907124,2.6524825,48.96683,58.711243,3.3047528,56.010567,0.6697279,54.81736,57.282085,2.1548593,94.85911,1.5845027,92.163734,97.53146,3.8134832,2.993596,0.0728015,2.8657563,3.1196382,0.13146514
59.0,21328.0,70.05723,1.4309058,66.55403,72.21778,2.9343212,54.420715,2.3947804,50.32564,59.413704,3.1136947,56.49175,1.0112891,54.49098,58.427567,2.2999942,94.472916,1.6255846,91.58093,97.081825,3.8179524,2.9674065,0.07388004,2.84706,3.1199374,0.13127273
