Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
15.0,12340.0,41.672962,7.6293945e-06,41.672955,41.672955,1.5238575,24.272528,5.722046e-06,24.272533,24.272533,0.88757485,29.868471,1.9073486e-06,29.868473,29.868473,1.0922021,110.63899,3.8146973e-05,110.63903,110.63903,4.045742,4.0771604,9.313226e-07,4.0771613,4.0771613,0.14908974
16.0,12496.0,44.251858,0.72056276,43.319576,45.74048,1.7713422,24.189812,0.41137403,23.487162,24.892067,0.9755294,32.055202,0.53001636,31.3303,33.19676,1.2864239,110.18534,0.33817264,109.55785,110.701485,4.04332,4.0546236,0.0621461,3.9568977,4.179239,0.16076331
17.0,12652.0,46.073795,0.93372697,44.440804,47.846558,1.9262241,24.251299,0.65997607,23.112276,25.526426,1.105432,33.592274,0.8067325,32.438988,35.11788,1.4695957,109.69971,0.46873444,108.83977,110.552055,4.038688,3.9931586,0.04479373,3.9359732,4.081305,0.15273423
18.0,12808.0,48.068626,0.9949391,46.07619,49.78948,2.0197802,24.377056,0.83685946,22.991793,26.048298,1.2226703,35.046577,0.7788221,33.869186,36.33383,1.4996449,109.27763,0.5620274,108.37199,110.274796,4.0352917,3.9427266,0.052992728,3.8677151,4.047174,0.1536045
19.0,12964.0,49.531616,1.1349602,47.68628,51.642345,2.1374452,24.651423,0.9487287,22.907955,26.395546,1.3086871,36.279232,0.88819325,34.706123,37.84736,1.5965024,108.897415,0.7311621,107.68882,110.34143,4.0486274,3.889636,0.053093847,3.819653,4.01119,0.15181915
20.0,13120.0,51.014565,1.0938647,49.453415,53.488525,2.1625106,24.909853,1.0483727,23.348701,27.077374,1.388808,37.410866,0.72386247,35.99872,38.557716,1.5477128,108.52128,0.7027202,107.332466,109.86245,4.030043,3.8107698,0.054333564,3.7138863,3.913938,0.14956664
21.0,13276.0,52.35197,1.2377336,50.476494,55.02695,2.2796378,25.31078,1.1062496,23.35885,27.660103,1.442364,38.543842,0.61997163,37.508,39.628044,1.5397635,108.04994,0.79297704,106.65955,109.67467,4.0298576,3.7705786,0.055203203,3.6611385,3.8880887,0.14851937
22.0,13432.0,53.5324,1.2165123,52.179314,56.434444,2.3047333,25.784449,1.145399,24.241816,28.239544,1.483552,39.43281,0.69120866,37.983665,40.646877,1.5990514,107.61572,0.8210823,106.166885,109.11589,4.019937,3.7108798,0.0642305,3.5927355,3.8368063,0.15012977
23.0,13588.0,54.78458,1.2890582,52.603714,57.871006,2.38221,26.18814,1.2689341,24.28407,28.980198,1.5897282,40.25291,0.7760495,38.734222,41.32336,1.6639807,107.0983,0.8246808,105.55111,108.50319,4.002157,3.6539621,0.06375147,3.5371163,3.7732017,0.14804432
24.0,13744.0,55.933025,1.0533085,54.399525,57.613434,2.3005946,26.577589,1.3115867,24.35585,29.554655,1.6324153,41.431335,0.69805044,40.17944,42.622524,1.6681025,106.7452,0.7748623,105.262985,108.127914,3.979524,3.6008947,0.04804544,3.509667,3.6766436,0.14016575
25.0,13900.0,57.061657,1.0456293,55.195206,58.80234,2.3339114,27.069506,1.2155292,24.748022,29.889797,1.5675836,42.14524,0.62851155,40.921135,43.233273,1.6643617,106.327095,0.7892468,105.04334,107.681145,3.9673655,3.579499,0.06743373,3.4725733,3.7495537,0.14724116
26.0,14056.0,57.793118,1.1625851,55.981895,59.90495,2.412,27.752542,1.2950462,25.695972,30.556587,1.645303,42.849224,0.62991184,41.797543,43.973434,1.6887481,105.916534,0.770605,104.65247,107.23621,3.9489737,3.5230038,0.06280079,3.4362814,3.6515925,0.14331797
27.0,14212.0,58.679707,1.3086957,56.632687,61.416466,2.5133448,28.210152,1.2492836,26.31479,30.64621,1.6201327,43.92481,0.7020777,42.8267,45.30212,1.7529387,105.54476,0.8027613,104.38822,107.02352,3.9420636,3.475598,0.05695663,3.3812973,3.5860975,0.13927144
28.0,14368.0,59.395504,1.3763742,57.131683,62.132465,2.5713103,28.841715,1.3104593,26.660864,31.135342,1.6821426,44.50319,0.821455,43.37383,46.09407,1.8229257,105.066925,0.8631577,103.79473,106.63214,3.9377549,3.4659467,0.043145414,3.3981922,3.5458028,0.13388212
29.0,14524.0,60.29597,1.5188731,58.10034,63.353165,2.6773722,29.495405,1.4908545,27.021774,32.19862,1.8400922,45.23661,0.7144499,44.068756,46.486855,1.8018645,104.68723,0.91735566,103.12472,106.39172,3.9364858,3.4496436,0.052590888,3.3607998,3.5322132,0.13666725
30.0,14680.0,61.300983,1.5852492,58.72393,64.54323,2.7454998,30.041447,1.5414617,27.58859,33.275723,1.8928461,45.914036,0.9455547,43.915417,47.413757,1.926893,104.13895,1.0136951,102.51719,106.12166,3.940667,3.3895524,0.05949553,3.282252,3.4887505,0.1374857
31.0,14836.0,61.84754,1.297572,60.087563,64.09024,2.6073833,30.697422,1.5552211,28.053125,33.59462,1.918007,46.519768,0.80055004,44.852764,47.937767,1.8800508,103.761444,1.0711983,102.103424,105.75032,3.9425628,3.3727362,0.064007975,3.2577152,3.4941242,0.13895167
32.0,14992.0,62.611473,1.2345288,60.30323,65.0624,2.601144,31.089832,1.5645388,28.563435,34.186478,1.9339702,47.38301,0.9258589,45.886555,49.323128,1.9645141,103.32286,1.1287628,101.49901,105.30169,3.9432218,3.3385854,0.054062188,3.232762,3.4450727,0.13351701
33.0,15148.0,63.076275,1.2166002,60.7505,64.91604,2.6077042,31.70632,1.6006888,29.206997,34.713863,1.9764688,47.94177,0.6751575,46.74955,49.034706,1.8786058,102.95632,1.1166211,101.151024,104.912254,3.9269114,3.30924,0.061577972,3.1990626,3.4020464,0.13577579
34.0,15304.0,63.904972,1.1973511,61.769035,66.09595,2.6257114,32.30308,1.7373271,28.97389,35.716537,2.1008584,48.519485,0.6439672,47.343765,49.816326,1.8874669,102.49487,1.0750864,100.76969,104.31738,3.8990808,3.282147,0.066227466,3.1379962,3.4080787,0.13707846
35.0,15460.0,64.092514,1.4443334,61.525658,66.61925,2.752982,33.099995,1.6869733,30.022715,36.201374,2.0762641,48.748516,0.79736155,47.648865,50.729866,1.9527957,102.03925,1.0514944,100.385185,103.924576,3.8766031,3.2532988,0.06574174,3.1590896,3.3642035,0.13592021
36.0,15616.0,64.40138,1.3651952,61.44192,66.870674,2.7220645,33.798615,1.6856631,30.42969,36.649136,2.0902028,49.13612,0.7665379,47.74932,50.716187,1.9534427,101.62296,1.064414,99.91958,103.48465,3.8654914,3.227187,0.06770987,3.112901,3.3659184,0.13605398
37.0,15772.0,64.702286,1.5010774,62.51707,67.61245,2.8019738,34.648315,1.6251069,31.449924,37.419346,2.0606377,49.560616,0.9082288,47.988983,51.709034,2.0271308,101.20725,1.124538,99.31367,103.0571,3.8679304,3.2145193,0.06468211,3.1092236,3.345956,0.13416676
38.0,15928.0,65.01165,1.3941895,62.6362,67.45059,2.7559474,35.469616,1.7070118,32.04241,38.18267,2.143863,50.069164,0.78982174,48.650295,51.276203,1.9939775,100.857475,1.1379815,99.01782,102.80749,3.8596365,3.2222493,0.065865435,3.1151845,3.3400142,0.13498789
39.0,16084.0,65.825264,1.4197557,63.351864,68.44153,2.7945535,36.118458,1.8698791,32.71483,39.580177,2.289283,50.725,0.7977722,49.510567,52.171898,2.0191483,100.37008,1.1959661,98.33079,102.5187,3.8601792,3.1845157,0.06648743,3.0464501,3.2922332,0.13409251
40.0,16240.0,66.21986,1.5507258,63.81111,68.99119,2.8754554,36.808952,1.8985624,33.328835,40.063766,2.327282,51.17854,0.7669112,49.91055,52.664856,2.0224915,99.89776,1.1673758,97.89257,101.90814,3.834962,3.1609733,0.07713263,3.0125983,3.283618,0.1389601
41.0,16396.0,66.76136,1.4812332,64.773,70.1396,2.8554919,37.601295,1.9618286,34.3427,40.84844,2.3956857,51.59861,0.73722726,50.21524,52.979588,2.025723,99.463425,1.2234526,97.36495,101.482834,3.8373454,3.1565268,0.071764596,3.042036,3.2680697,0.13591565
42.0,16552.0,67.202484,1.3694916,64.737434,69.67053,2.813238,38.385075,2.0012558,34.88266,42.03866,2.444422,51.86695,0.6713665,50.68939,53.308132,2.011941,99.06953,1.2205298,97.16466,100.92456,3.822762,3.1622312,0.0662944,3.0250208,3.28386,0.13328934
43.0,16708.0,67.639885,1.4870749,64.88931,70.59415,2.8860104,39.118156,1.9183878,35.32948,42.290165,2.392981,52.221355,0.7086171,50.985954,53.612038,2.0368207,98.59447,1.2686113,96.46745,100.34369,3.8219929,3.1332324,0.076369725,2.999439,3.2773645,0.13769287
44.0,16864.0,68.015144,1.2565681,66.102135,70.30186,2.7865205,39.706192,1.8539574,35.6489,42.5693,2.3548424,52.819885,0.74510837,51.434532,54.24464,2.0702062,98.15063,1.2646487,96.02453,99.99766,3.8053682,3.0967479,0.08178935,2.9275267,3.2559829,0.13968736
45.0,17020.0,68.292915,1.3335326,66.01232,70.694824,2.8310194,40.521835,1.8721921,37.07177,43.330086,2.3876197,52.97734,0.82288295,51.561993,54.48024,2.1047513,97.71351,1.3018414,95.664444,99.717834,3.8028674,3.1027198,0.07451718,2.9451828,3.2134604,0.1357401
46.0,17176.0,68.26754,1.5247414,65.62765,71.06077,2.9251606,41.305603,1.8411394,38.014957,44.385365,2.381423,53.25205,0.72465163,51.921543,54.333366,2.077735,97.25247,1.4012232,95.08419,99.337555,3.822335,3.0720875,0.0732831,2.9426587,3.2061317,0.13412702
47.0,17332.0,68.732475,1.4943743,66.23974,72.166565,2.9240475,42.07967,1.712748,38.709167,44.89775,2.3024323,53.5556,0.828743,51.99989,54.9971,2.1265066,96.81453,1.4170301,94.70067,98.82091,3.8132856,3.0683424,0.06925305,2.948586,3.186638,0.13185173
48.0,17488.0,69.12981,1.4454496,65.8186,71.59838,2.9119527,42.69672,1.7394496,38.991413,45.475346,2.337375,53.96325,0.8183386,52.644775,55.369198,2.136235,96.32707,1.4471846,94.200966,98.38349,3.8081,3.052648,0.08079268,2.9172554,3.2337382,0.13779658
49.0,17644.0,69.54701,1.3696887,67.093,71.81133,2.8885212,43.1757,1.7614719,39.452755,46.141872,2.3654637,54.402035,0.7013311,52.802868,55.281933,2.1093287,95.93492,1.4100801,93.755005,97.92195,3.7808456,3.032474,0.056820113,2.9418206,3.1398203,0.12459862
50.0,17800.0,69.79363,1.6432593,66.57547,72.89793,3.0354173,43.96131,1.9388045,40.269062,47.78045,2.5185578,54.67311,0.754955,53.202682,56.111454,2.13703,95.56829,1.4708178,93.27685,97.7097,3.7915552,3.0286167,0.07997381,2.9041855,3.2014546,0.1366047
51.0,17956.0,69.84016,1.6439452,67.024185,73.004074,3.037219,44.744446,1.9905335,40.736816,48.418217,2.576681,54.73126,0.9026559,53.344307,56.410133,2.195503,95.21579,1.4349728,92.82204,97.39844,3.765874,3.038552,0.07188469,2.9152298,3.1963964,0.13233685
52.0,18112.0,70.0564,1.4382964,67.5665,73.03718,2.937906,45.467236,2.0891862,41.213047,49.40442,2.670009,55.04888,0.9636111,53.531765,57.027676,2.2317295,94.758675,1.4701289,92.27876,96.90835,3.7640164,3.0255985,0.07854759,2.879641,3.155516,0.13568464
53.0,18268.0,70.152504,1.6508224,67.37168,73.13941,3.0505452,46.170315,2.1560636,42.608788,50.434002,2.738432,55.42516,0.8584631,54.253,57.19293,2.2010481,94.313354,1.3704332,91.99076,96.30526,3.7110705,3.0053177,0.068218134,2.8954604,3.1363006,0.12934743
54.0,18424.0,70.240395,1.4841349,67.31287,72.8973,2.9664404,46.95655,2.153316,43.30109,50.748833,2.7541013,55.676556,1.0106064,54.356754,58.090187,2.2729557,93.88797,1.3417057,91.60792,96.022705,3.6860657,3.0163338,0.082969435,2.8546143,3.1625643,0.13802055
55.0,18580.0,70.40999,1.4303111,68.17842,73.04294,2.9453008,47.624397,2.2356298,43.488968,51.34604,2.833868,56.063393,0.9080793,54.19108,57.577927,2.2421882,93.48646,1.3632401,90.96589,95.70747,3.680317,3.0029066,0.06657861,2.8706975,3.1196835,0.1284149
