Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
15.0,11080.0,41.672962,7.6293945e-06,41.672955,41.672955,1.5238575,24.272528,5.722046e-06,24.272533,24.272533,0.88757485,29.868471,1.9073486e-06,29.868473,29.868473,1.0922021,110.63899,3.8146973e-05,110.63903,110.63903,4.045742,4.0771604,9.313226e-07,4.0771613,4.0771613,0.14908974
16.0,11152.0,44.72972,0.7195367,43.56843,46.151913,1.7869058,23.579609,0.43771043,22.80732,24.480867,0.9669761,32.230423,0.6754203,31.075222,33.287167,1.35839,109.782974,0.3036262,109.04169,110.18959,4.025906,4.0846834,0.05160692,3.9648223,4.1612463,0.1580289
17.0,11224.0,47.307766,0.95595646,45.846127,49.357834,1.9764682,23.11042,0.58883834,22.176085,24.297098,1.0299956,34.021847,0.7985971,32.49984,35.450905,1.47834,108.9572,0.3601191,108.281654,109.533875,4.0004854,4.042875,0.054485377,3.9433782,4.138427,0.15755682
18.0,11296.0,49.482056,0.9589112,47.758297,51.510536,2.0478003,22.651028,0.6831197,21.742775,24.128407,1.0736399,35.635517,0.7318495,34.194027,36.844868,1.4945356,108.03662,0.40379763,107.29552,108.5866,3.971164,3.9548292,0.045093536,3.8630738,4.0423193,0.1514838
19.0,11368.0,51.402275,0.9657769,50.05962,53.535946,2.1132283,22.309961,0.71129614,21.33178,24.101812,1.0823528,36.985264,0.7148604,35.63274,38.18256,1.5297468,107.291695,0.44830027,106.40136,107.96398,3.9488707,3.8825114,0.04302504,3.8161964,3.966366,0.14834826
20.0,11440.0,53.102135,0.8841169,51.730907,55.06641,2.13359,22.068605,0.7586889,20.867485,23.987135,1.1076244,38.26246,0.65192795,37.34089,39.668354,1.543573,106.50281,0.44792753,105.56513,107.234505,3.9201686,3.8079689,0.04595225,3.7348223,3.8877962,0.1466326
21.0,11512.0,54.52636,0.7006172,53.10281,55.769566,2.1133802,21.985994,0.7558927,20.675234,23.657917,1.1035081,39.576534,0.5352664,38.374928,40.5535,1.5430135,105.701996,0.4685578,104.83783,106.66565,3.8935075,3.7297213,0.045139495,3.6519985,3.8069713,0.14366078
22.0,11584.0,56.012794,0.8106011,54.798958,57.360493,2.2027917,21.952707,0.860511,20.317707,23.91208,1.1768093,40.724728,0.5811535,39.8664,41.97248,1.5985638,104.99666,0.51940393,104.08565,106.096664,3.8743923,3.6747339,0.053768437,3.6024842,3.7850478,0.1447324
23.0,11656.0,57.39915,0.929615,55.68588,59.10929,2.2955697,21.995304,0.95135194,20.653074,23.959192,1.2457827,41.60935,0.7065839,40.134182,42.916546,1.677593,104.21653,0.59142625,103.097,105.441345,3.8565114,3.6440396,0.045787994,3.5651677,3.7419348,0.1408992
24.0,11728.0,58.7326,0.8812079,57.038166,60.254562,2.3214324,22.029285,1.0107832,20.37773,24.056225,1.2925119,42.585716,0.64224434,41.108593,43.670208,1.684475,103.495766,0.5806134,102.387054,104.56366,3.8288143,3.5825992,0.05335084,3.4913018,3.6708891,0.14145194
