Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
15.0,10540.0,41.672962,7.6293945e-06,41.672955,41.672955,1.5238575,24.272528,5.722046e-06,24.272533,24.272533,0.88757485,29.868471,1.9073486e-06,29.868473,29.868473,1.0922021,110.63899,3.8146973e-05,110.63903,110.63903,4.045742,4.0771604,9.313226e-07,4.0771613,4.0771613,0.14908974
16.0,10576.0,45.798626,1.0719899,43.42887,47.447845,1.9884297,23.070341,0.5670222,22.098412,23.96302,1.0164642,32.53994,0.8214129,31.193487,33.90752,1.4458759,109.399185,0.45478442,108.55939,110.16264,4.0261736,4.0852137,0.075682975,3.9700646,4.2218566,0.16746213
17.0,10612.0,48.948296,1.2735167,46.131084,50.752678,2.1967177,22.08207,0.6708786,20.73041,23.067617,1.0498075,34.769173,1.1219919,32.64791,36.985508,1.6956826,108.14063,0.56414235,107.12298,109.19394,3.9944227,4.0292153,0.06943397,3.8937004,4.147941,0.16287766
18.0,10648.0,51.478313,1.1566975,49.41682,53.37023,2.209393,21.3268,0.68304074,20.016018,22.353893,1.0366887,36.564743,1.0480927,34.782185,38.586914,1.698894,107.02056,0.6179338,105.96633,108.23413,3.9619124,3.9564128,0.067688316,3.8405714,4.0788307,0.15972595
19.0,10684.0,53.579525,0.944104,51.82013,54.972412,2.1748505,20.676596,0.760184,19.099636,22.075912,1.072166,38.231945,0.97595894,36.199417,39.689926,1.7049875,105.9161,0.69212395,104.64264,107.01397,3.934396,3.8748949,0.060430713,3.7914164,3.9799955,0.15404195
20.0,10720.0,55.593727,1.0623329,53.483276,57.61106,2.293737,20.083405,0.7990997,18.291609,21.389767,1.0853066,39.60668,0.8666308,38.101315,41.335716,1.6877857,104.87428,0.8325896,103.170456,106.305374,3.924283,3.8052309,0.055255022,3.6861274,3.8762195,0.14971556
21.0,10756.0,57.228897,1.005011,55.467335,59.384514,2.3215096,19.608162,0.8528725,18.008986,21.113197,1.1142256,40.656864,0.7964875,39.497597,42.32566,1.6866163,103.58208,0.91826826,101.685,105.0978,3.8974125,3.704123,0.0624174,3.5894756,3.8101444,0.1491386
22.0,10792.0,58.847134,1.137444,57.393806,61.30626,2.43399,19.188528,0.8360062,17.711926,20.874393,1.0914414,41.855484,0.77218306,40.58318,43.049137,1.7142911,102.47311,1.070446,100.469505,104.4939,3.8970387,3.6587565,0.06429858,3.558562,3.7664037,0.14843874
23.0,10828.0,60.34038,1.0151209,58.470802,62.501442,2.4287815,18.858286,0.8630177,17.430214,20.264845,1.1046884,42.797512,0.7305757,41.289444,44.12334,1.7271074,101.27407,1.119177,99.209816,103.40624,3.8687139,3.615662,0.058944285,3.5224876,3.7185807,0.14475842
24.0,10864.0,61.643223,0.8990202,59.940273,63.054222,2.4267786,18.517147,0.98167,16.89773,20.18494,1.1925453,43.903454,0.9517131,42.36904,46.048157,1.8663148,100.11564,1.1816876,97.79244,101.96765,3.8469238,3.5482883,0.054352168,3.4588616,3.6405656,0.14067458
25.0,10900.0,63.16878,0.98414475,61.185738,64.6836,2.510809,18.151985,0.9933806,16.292282,19.784212,1.1947336,45.02955,0.9243627,43.604534,47.242702,1.8883144,99.0521,1.2361298,96.42858,101.16149,3.8271682,3.5141582,0.062064167,3.4303222,3.6506603,0.14270541
26.0,10936.0,64.41287,0.95452166,62.797493,65.770325,2.5414503,17.762268,1.0234442,15.660847,19.177357,1.2121494,46.14224,0.85667133,44.40188,47.449512,1.8923053,97.97597,1.2764498,94.94414,100.085014,3.8032894,3.4600909,0.06699651,3.3505414,3.600063,0.1431684
27.0,10972.0,65.38387,1.0585741,63.198627,67.245544,2.6147583,17.49844,1.0869031,15.214255,19.325079,1.2612642,46.75775,0.83002955,44.91967,48.14297,1.9006162,96.88584,1.3942697,93.36847,99.29236,3.8073127,3.387035,0.062829286,3.2811863,3.4711456,0.13887873
28.0,11008.0,66.31186,1.0760539,64.17218,68.357376,2.6528645,17.289185,1.1591718,14.763283,19.347439,1.3203691,47.46983,0.69889855,46.359673,49.056572,1.8712486,95.93106,1.375635,92.345215,98.32192,3.7680035,3.3425584,0.062802486,3.2346518,3.4600885,0.13741805
29.0,11044.0,67.228004,1.1268268,65.46115,69.36614,2.7042792,17.16213,1.2276119,14.457194,19.111792,1.3787216,48.200603,0.9616616,46.140827,49.752777,2.007832,94.95926,1.4489888,91.66028,97.45147,3.762578,3.3217275,0.06991407,3.2176282,3.4490948,0.14014961
30.0,11080.0,68.27346,1.041152,66.156296,70.12766,2.7049594,17.083872,1.3832532,14.1399765,19.510605,1.5177773,48.985558,1.0708857,46.60269,50.556953,2.0869596,93.95673,1.4715407,90.68446,96.501976,3.7375941,3.3012116,0.05670439,3.2033753,3.4217463,0.13337031
31.0,11116.0,69.14678,1.0042306,67.24892,70.76616,2.7206178,17.06838,1.3055947,14.278565,19.358765,1.4471104,49.573772,0.7799536,48.063652,50.78873,1.9734364,93.01762,1.4673654,89.80577,95.50287,3.704396,3.2647333,0.06500117,3.1499076,3.3807147,0.13593063
32.0,11152.0,69.88956,1.1946187,67.99368,72.19283,2.8210793,17.014772,1.3212835,14.466543,19.376865,1.4604445,50.18488,0.70281917,48.97564,51.419346,1.9650942,92.162796,1.5484387,89.07013,94.87103,3.708825,3.2371955,0.07145039,3.1142917,3.3884559,0.13826689
33.0,11188.0,70.93788,1.1674086,69.00947,72.67531,2.8445778,16.901213,1.4645225,14.418817,19.786877,1.5895861,50.839375,0.65139896,49.845238,52.17918,1.9698664,91.259575,1.6024616,88.074005,94.260056,3.7019022,3.2189372,0.06776954,3.1220324,3.3505898,0.13582216
34.0,11224.0,71.74879,1.1760218,69.264435,73.86684,2.8751562,16.857403,1.416672,14.298353,19.879517,1.5449725,51.364998,0.7286731,50.266193,52.68361,2.014659,90.3131,1.5904497,87.28311,93.34974,3.665506,3.207664,0.06284212,3.1020148,3.297606,0.13306843
35.0,11260.0,72.54248,1.2704941,69.99994,74.69878,2.941222,16.666792,1.4058106,14.654251,19.92605,1.5322335,52.106487,0.6378521,51.1292,53.28387,2.0093112,89.28742,1.557577,86.535545,92.17604,3.6174753,3.164443,0.07618697,3.0451157,3.3050027,0.13854337
36.0,11296.0,73.45804,1.3678697,69.973465,75.52606,3.0143719,16.581692,1.5212234,14.335904,19.932943,1.6376121,52.793015,0.672553,51.46747,53.825832,2.0442848,88.3578,1.46186,85.80068,91.15229,3.5463076,3.1513073,0.06515517,3.0078852,3.233792,0.13237853
37.0,11332.0,73.70476,1.4236085,71.07796,76.385254,3.0480454,16.65701,1.5732795,14.476138,20.309614,1.687071,53.10142,0.68104726,52.0825,54.323223,2.0577335,87.51746,1.5322604,84.92829,90.52121,3.548163,3.1220753,0.07473568,3.0077562,3.247109,0.13645178
38.0,11368.0,74.21083,1.2544355,72.14476,76.40534,2.9895854,16.649525,1.5563064,14.37855,20.02852,1.6711541,53.59558,0.92874163,51.511703,55.18207,2.1687565,86.662964,1.6458608,83.81337,89.94425,3.5709212,3.0824997,0.07988924,2.922096,3.2061262,0.13815798
39.0,11404.0,74.5734,1.2437215,72.441864,77.025024,2.9971633,16.68024,1.487125,14.335121,19.696798,1.6073508,54.050785,1.0640751,52.536198,55.968815,2.2447095,85.80509,1.5415963,83.373856,89.23844,3.4958978,3.0591133,0.06567916,2.9398632,3.177342,0.12971903
40.0,11440.0,75.25846,1.1949967,73.24834,77.97942,3.0002356,16.609924,1.5309203,14.077398,19.611507,1.6470041,54.717087,0.79400164,53.506794,56.33625,2.1526287,84.94683,1.4750805,82.85379,88.11314,3.4387038,3.0427077,0.044304423,2.975197,3.1394293,0.119759366
