epoch,train_loss,val_loss
0,0.17246443384460042,0.30410876174767815
1,0.1405713228242738,0.1909070258339246
2,0.125021436384746,0.19687349448601404
3,0.11981177745120866,0.22375767628351848
4,0.11529283970594406,0.24998896047472954
5,0.11222110901560102,0.24026828010876974
6,0.11220738398177284,0.2424288806815942
7,0.1090760238468647,0.24462044686079026
8,0.10934344019208636,0.3105520270764828
9,0.10772812483566148,0.30105326920747755
10,0.10741048327514104,0.2189140299956004
11,0.10679219375763621,0.29278440549969675
12,0.10619267384920801,0.25271757965286573
13,0.10674691817590169,0.26199006885290144
14,0.10525527479393142,0.26711146583159767
15,0.10553228706121445,0.3584500407179197
16,0.10548848531075887,0.25067093844215077
17,0.10466208372797285,0.2523710469404856
18,0.10537598494972501,0.3276642436782519
19,0.10607892157776015,0.2380668153365453
20,0.1046687584902559,0.20381402497490247
21,0.10431085026689939,0.4016072136660417
22,0.10393248785819326,0.35974289452036223
23,0.10297581372516496,0.20866156940658886
24,0.10248414182237216,0.2521995355685552
25,0.10264475962945394,0.23433998301625253
26,0.10140948316880635,0.3146483158071836
27,0.10179198905825615,0.2042849600315094
28,0.10245876855083874,0.19654214307665824
29,0.10072708002158574,0.2206886664032936
30,0.10150894363011632,0.19115778778990108
31,0.10114735577787672,0.36734109073877336
32,0.10111636178834098,0.19426350618402163
33,0.10178963233317648,0.24239785249034565
34,0.10125992468425206,0.18392024685939154
35,0.09976275392941066,0.2075625441968441
36,0.10079443742121968,0.17645906259616215
37,0.10158347796116557,0.1692161190013091
38,0.09993114418217114,0.16583471049865087
39,0.10162374398538045,0.16164402266343433
40,0.0999128914305142,0.2014524149398009
41,0.10134510323405266,0.24383222510417302
42,0.10137064595307622,0.22122025042772292
43,0.10257026925683022,0.31049977193276085
44,0.1008528158068657,0.15935073544581732
45,0.10349240409476416,0.22897685468196868
46,0.10314058799828801,0.1541548249622186
47,0.10432495091642652,0.1555668296913306
48,0.10384333431720734,0.2250274032354355
49,0.10397766871111734,0.1700342245399952
50,0.10477310866117477,0.16818186417222022
51,0.10994950639350073,0.17643531113862992
52,0.11036044604011945,0.168973262856404
53,0.10818143625344549,0.13085731416940688
54,0.10813120741929327,0.1697452612221241
55,0.11538741567305157,0.16591641157865525
56,0.11215786444289344,0.1593454028169314
57,0.11497039943933487,0.14279378031690915
58,0.1169636787048408,0.16646663422385852
59,0.12252735570073128,0.12521895592411358
60,0.14561890959739685,0.12230045348405838
61,0.13058332917945725,0.1243872861067454
62,0.13338093257376127,0.11463754922151566
63,0.1272917984851769,0.1192941805968682
64,0.13320897508944785,0.11052655627330145
65,0.12893571534327097,0.1162978341182073
66,0.12702040789382799,0.11603792657454809
67,0.1299090214073658,0.1403912015259266
68,0.12427670593772616,0.11340811252593994
69,0.1303008887384619,0.11941496729850769
70,0.13502034204346794,0.13732765441139538
71,0.1268205196729728,0.11144517287611962
72,0.1234971210360527,0.12963770180940629
73,0.12184831382972854,0.11623622427384059
74,0.12575270235538483,0.1161597507695357
75,0.12326809508459909,0.11632021342714628
76,0.12756165244749615,0.1230323409040769
77,0.12184109432356698,0.1368754141032696
78,0.1267052979341575,0.12839561874667804
79,0.13062976875475474,0.12193085352579752
80,0.11985594555735588,0.12661651720603306
81,0.12223152645996639,0.12351776709159215
82,0.11811886972614698,0.10955658257007599
83,0.11709514079349381,0.11920502210656801
84,0.12737272924610546,0.11364023337761561
85,0.11932413897344045,0.12216462368766466
86,0.12084241562655994,0.11713007241487502
87,0.11488071978092193,0.11981570497155189
88,0.11833054370113781,0.1073245366414388
89,0.1184455404324191,0.1136215423544248
90,0.12237152340156691,0.11351429919401805
91,0.11991815375430244,0.11432186861832937
92,0.11727235902632986,0.11545362298687299
93,0.1139258232499872,0.11016863808035851
94,0.11289153301290103,0.12129757056633632
95,0.11573143803647586,0.11725354269146919
96,0.1174231863447598,0.1149872509141763
97,0.11972806943314417,0.11078416133920352
98,0.11858309241277831,0.11506355330348014
99,0.12378561326435635,0.13493762264649073
