Time (h),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L)
15.0,26.982403,3.8146973e-06,26.982399,26.982399
16.0,31.83645,1.0332578,29.661192,33.390358
17.0,35.726368,1.4291705,32.950832,37.58967
18.0,38.96629,1.3253703,36.627163,40.991272
19.0,41.14211,0.82119346,39.857525,42.587677
20.0,42.746334,0.85067934,41.463108,44.129375
21.0,44.20155,0.6523643,42.946465,45.3173
22.0,45.924038,0.5985897,44.869965,46.850407
23.0,47.51925,0.5426291,46.529816,48.411156
24.0,49.094692,0.570252,48.17192,49.975952
25.0,50.66771,0.49769008,49.922924,51.82812
26.0,52.053413,0.5760177,51.020428,53.184322
27.0,53.37839,0.49938914,52.268314,54.288723
28.0,54.739517,0.4809148,54.036587,55.52767
29.0,55.999493,0.4461198,55.145798,56.721848
30.0,57.036037,0.5278146,56.0168,57.98282
31.0,57.64033,0.4634316,56.720833,58.44589
32.0,58.514225,0.43560237,57.80348,59.308685
33.0,59.1443,0.5087975,58.272976,60.08368
34.0,59.962105,0.3842391,59.367588,60.698647
35.0,60.60369,0.40004778,59.86829,61.36361
36.0,61.1613,0.44163868,60.370758,61.825123
37.0,61.77342,0.4848272,61.012455,62.805477
38.0,62.386898,0.42185768,61.534985,63.31605
39.0,63.00362,0.35749716,62.11408,63.53967
40.0,63.511116,0.3951792,62.74495,64.1535
41.0,64.034775,0.3736855,63.382915,64.64193
42.0,64.500465,0.37884068,63.965363,65.2076
43.0,64.9003,0.55582184,63.782803,65.76496
44.0,65.333244,0.4570258,64.55743,66.2552
45.0,65.778305,0.44305804,64.92633,66.546555
46.0,66.13364,0.48076668,65.35987,66.903076
47.0,66.5205,0.45865574,65.62059,67.25578
48.0,66.95081,0.5091995,66.04494,67.86097
49.0,67.50857,0.57262105,66.48327,68.571846
50.0,68.08918,0.44579214,67.45854,68.90664
