Time (h),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L)
15.0,26.982403,3.8146973e-06,26.982399,26.982399
16.0,29.407047,0.6204963,28.140415,30.506832
17.0,31.937704,0.7440928,30.550192,33.115673
18.0,34.27281,0.75476086,32.735146,35.546917
19.0,36.42268,0.83206433,34.755993,37.993374
20.0,38.564392,0.7983496,37.04697,39.88381
21.0,40.520298,0.8108683,39.09224,42.032097
22.0,42.33067,0.7532147,41.13047,43.665062
23.0,43.8934,0.66699713,42.85847,45.310932
24.0,45.439243,0.6944785,44.0484,46.829556
25.0,46.986958,0.71893364,45.42113,47.987766
26.0,48.377365,0.70474184,47.05794,49.725742
27.0,49.6526,0.647713,48.125053,50.546112
28.0,50.784237,0.61120313,49.642593,51.775337
29.0,51.811634,0.5369012,50.937313,52.854424
30.0,52.83656,0.6208597,51.67908,53.89948
31.0,53.78032,0.5926535,52.820625,55.146065
32.0,54.589417,0.5518987,53.593884,55.403416
33.0,55.368294,0.54833543,54.337864,56.26557
34.0,56.201492,0.44274572,55.255726,56.87425
35.0,56.878185,0.44628882,56.116848,57.834293
36.0,57.48691,0.4411171,56.797577,58.45048
37.0,58.05828,0.4233731,57.24861,58.70407
38.0,58.600708,0.47749728,57.56379,59.43803
39.0,59.130253,0.56872815,57.956127,60.030704
40.0,59.889824,0.52747965,58.687477,60.832386
41.0,60.467754,0.39668283,59.620567,61.11749
42.0,60.88554,0.59014964,59.853134,61.85347
43.0,61.340195,0.6031982,60.229202,62.38692
44.0,61.759617,0.54632616,60.759476,62.85173
45.0,62.049755,0.5033796,61.09266,63.016556
46.0,62.619057,0.53348446,61.657997,63.586277
47.0,62.93605,0.6121744,61.843697,63.994175
48.0,63.250557,0.58626926,62.190193,64.157745
49.0,63.56213,0.68115926,62.608597,64.95845
50.0,63.961853,0.5863221,62.98075,64.89456
